Date : 2023-11-12 00:43:41
Directory : d:\ROBLOX STUDIO\Rojo\UTP\src
Total : 476 files,  26301 codes, 1194 comments, 4660 blanks, all 32155 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0                                                                                                            |         81 |      3,929 |        192 |        811 |      4,932 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr                                                                                                       |         81 |      3,929 |        192 |        811 |      4,932 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr (Files)                                                                                               |          4 |        219 |          0 |         46 |        265 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr                                                                                                  |         77 |      3,710 |        192 |        765 |      4,667 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr (Files)                                                                                          |          3 |        256 |          2 |         42 |        300 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands                                                                                  |         47 |      1,074 |          6 |        147 |      1,227 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands (Files)                                                                          |          1 |         58 |          2 |          5 |         65 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin                                                                            |         12 |        174 |          0 |         17 |        191 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug                                                                            |         10 |        151 |          4 |         24 |        179 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility                                                                          |         24 |        691 |          0 |        101 |        792 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes                                                                                     |         17 |        628 |         13 |        136 |        777 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient                                                                                       |          5 |        625 |         67 |        156 |        848 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient (Files)                                                                               |          2 |        103 |         14 |         25 |        142 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\CmdrInterface                                                                         |          3 |        522 |         53 |        131 |        706 |
| ReplicatedStorage\Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared                                                                                           |          5 |      1,127 |        104 |        284 |      1,515 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6                                                                                                  |         60 |      7,467 |        145 |        690 |      8,302 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6 (Files)                                                                                          |          3 |          3 |          0 |          3 |          6 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2                                                                                       |         57 |      7,464 |        145 |        687 |      8,296 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2 (Files)                                                                               |         11 |      5,460 |          1 |        109 |      5,570 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\benchmarks                                                                            |          1 |         23 |          2 |          8 |         33 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs                                                                                  |          9 |        182 |          0 |         68 |        250 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs (Files)                                                                          |          2 |         21 |          0 |         14 |         35 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Technical Details                                                                |          2 |         26 |          0 |          8 |         34 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\docs\Tutorials                                                                        |          5 |        135 |          0 |         46 |        181 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src                                                                                   |         29 |      1,479 |        137 |        409 |      2,025 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src (Files)                                                                           |          5 |        191 |         17 |         64 |        272 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Client                                                                            |          5 |        466 |         47 |        123 |        636 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server                                                                            |         11 |        608 |         60 |        154 |        822 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server (Files)                                                                    |          6 |        575 |         53 |        138 |        766 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Server\PlayerContainers                                                           |          5 |         33 |          7 |         16 |         56 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Studio                                                                            |          3 |        102 |          3 |         34 |        139 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\src\Utilities                                                                         |          5 |        112 |         10 |         34 |        156 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing                                                                               |          7 |        320 |          5 |         93 |        418 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\framework                                                                     |          3 |        233 |          3 |         60 |        296 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\stress                                                                        |          2 |         38 |          0 |         13 |         51 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\stress\client                                                                 |          1 |         16 |          0 |          6 |         22 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\stress\server                                                                 |          1 |         22 |          0 |          7 |         29 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\tests                                                                         |          2 |         49 |          2 |         20 |         71 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\tests\client                                                                  |          1 |         15 |          0 |          7 |         22 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\tests\client\featureTests                                                     |          1 |         15 |          0 |          7 |         22 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\tests\server                                                                  |          1 |         34 |          2 |         13 |         49 |
| ReplicatedStorage\Packages\_Index\ffrostflame_bridgenet2@0.5.6\bridgenet2\testing\tests\server\featureTests                                                     |          1 |         34 |          2 |         13 |         49 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4                                                                                                    |         10 |      2,462 |         23 |        129 |      2,614 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4\tablekit                                                                                           |         10 |      2,462 |         23 |        129 |      2,614 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4\tablekit (Files)                                                                                   |          6 |      1,934 |          0 |         20 |      1,954 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4\tablekit\docs                                                                                      |          2 |         30 |          0 |          9 |         39 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4\tablekit\src                                                                                       |          1 |        400 |         22 |         89 |        511 |
| ReplicatedStorage\Packages\_Index\ffrostflame_tablekit@0.2.4\tablekit\tests                                                                                     |          1 |         98 |          1 |         11 |        110 |
| ReplicatedStorage\Packages\_Index\ffrostflame_wally-instance-manager@0.1.0                                                                                      |          3 |         39 |          0 |         15 |         54 |
| ReplicatedStorage\Packages\_Index\ffrostflame_wally-instance-manager@0.1.0\wally-instance-manager                                                               |          3 |         39 |          0 |         15 |         54 |
| ReplicatedStorage\Packages\_Index\ffrostflame_wally-instance-manager@0.1.0\wally-instance-manager (Files)                                                       |          2 |         19 |          0 |          7 |         26 |
| ReplicatedStorage\Packages\_Index\ffrostflame_wally-instance-manager@0.1.0\wally-instance-manager\src                                                           |          1 |         20 |          0 |          8 |         28 |
| ReplicatedStorage\Packages\_Index\pysephwasntavailable_remotepacketsizecounter@2.3.1                                                                            |          2 |        138 |         39 |         28 |        205 |
| ReplicatedStorage\Packages\_Index\pysephwasntavailable_remotepacketsizecounter@2.3.1\remotepacketsizecounter                                                    |          2 |        138 |         39 |         28 |        205 |
| ReplicatedStorage\Packages\_Index\pysephwasntavailable_remotepacketsizecounter@2.3.1\remotepacketsizecounter (Files)                                            |          1 |          6 |          0 |          0 |          6 |
| ReplicatedStorage\Packages\_Index\pysephwasntavailable_remotepacketsizecounter@2.3.1\remotepacketsizecounter\src                                                |          1 |        132 |         39 |         28 |        199 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1                                                                                              |          2 |        293 |         38 |         43 |        374 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath                                                                                   |          2 |        293 |         38 |         43 |        374 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath (Files)                                                                           |          1 |          6 |          0 |          0 |          6 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath\src                                                                               |          1 |        287 |         38 |         43 |        368 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath\src\ReplicatedStorage                                                             |          1 |        287 |         38 |         43 |        368 |
| ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath\src\ReplicatedStorage\SimplePath                                                  |          1 |        287 |         38 |         43 |        368 |
| ReplicatedStorage\PersonModels                                                                                                                                  |         10 |        387 |         26 |         71 |        484 |
| ReplicatedStorage\PersonModels (Files)                                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| ReplicatedStorage\PersonModels\Astra                                                                                                                            |          2 |         21 |          0 |          2 |         23 |
| ReplicatedStorage\PersonModels\Saske                                                                                                                            |          7 |        363 |         26 |         69 |        458 |
| ReplicatedStorage\PersonModels\Saske (Files)                                                                                                                    |          5 |         19 |          3 |          7 |         29 |
| ReplicatedStorage\PersonModels\Saske\Sound                                                                                                                      |          2 |        344 |         23 |         62 |        429 |
| ReplicatedStorage\TweenSequenceIncludes                                                                                                                         |          7 |        414 |          6 |         74 |        494 |
| ReplicatedStorage\TycoonModel                                                                                                                                   |         12 |         67 |          2 |         18 |         87 |
| ReplicatedStorage\TycoonModel (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\TycoonModel\MainItems                                                                                                                         |         11 |         63 |          2 |         18 |         83 |
| ReplicatedStorage\TycoonModel\MainItems (Files)                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| ReplicatedStorage\TycoonModel\MainItems\ConveyorBelt                                                                                                            |          7 |         34 |          0 |          8 |         42 |
| ReplicatedStorage\TycoonModel\MainItems\ConveyorBelt (Files)                                                                                                    |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\TycoonModel\MainItems\ConveyorBelt\CollectorPart                                                                                              |          2 |         14 |          0 |          4 |         18 |
| ReplicatedStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart1                                                                                              |          2 |          8 |          0 |          2 |         10 |
| ReplicatedStorage\TycoonModel\MainItems\ConveyorBelt\ConveyorPart2                                                                                              |          2 |          8 |          0 |          2 |         10 |
| ReplicatedStorage\TycoonModel\MainItems\OwnerDoor                                                                                                               |          3 |         26 |          2 |         10 |         38 |
| ReplicatedStorage\TycoonModel\MainItems\OwnerDoor (Files)                                                                                                       |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\TycoonModel\MainItems\OwnerDoor\MainDoor                                                                                                      |          2 |         22 |          2 |         10 |         34 |
| ServerScriptService                                                                                                                                             |          3 |         99 |         15 |         47 |        161 |
| ServerStorage                                                                                                                                                   |        161 |      3,851 |        240 |      1,065 |      5,156 |
| ServerStorage\Cmdr                                                                                                                                              |          3 |         28 |          0 |          2 |         30 |
| ServerStorage\Cmdr\Commands                                                                                                                                     |          2 |         25 |          0 |          2 |         27 |
| ServerStorage\Cmdr\Types                                                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\Services                                                                                                                                          |         16 |      2,709 |        197 |        690 |      3,596 |
| ServerStorage\Services (Files)                                                                                                                                  |          9 |        599 |         16 |        284 |        899 |
| ServerStorage\Services\Profile                                                                                                                                  |          5 |      1,897 |        178 |        348 |      2,423 |
| ServerStorage\Services\SubServices                                                                                                                              |          2 |        213 |          3 |         58 |        274 |
| ServerStorage\SkillSystem                                                                                                                                       |          9 |        380 |          9 |        155 |        544 |
| ServerStorage\SkillSystem (Files)                                                                                                                               |          2 |         81 |          0 |         29 |        110 |
| ServerStorage\SkillSystem\Skills                                                                                                                                |          7 |        299 |          9 |        126 |        434 |
| ServerStorage\TycoonModel                                                                                                                                       |        133 |        734 |         34 |        218 |        986 |
| ServerStorage\TycoonModel (Files)                                                                                                                               |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Boughtitems                                                                                                                           |         18 |        128 |         25 |         51 |        204 |
| ServerStorage\TycoonModel\Boughtitems (Files)                                                                                                                   |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Boughtitems\FirstDropper                                                                                                              |          2 |         12 |          8 |          3 |         23 |
| ServerStorage\TycoonModel\Boughtitems\FourDropper                                                                                                               |          2 |         13 |          5 |          4 |         22 |
| ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor                                                                                                             |          5 |         42 |          0 |         16 |         58 |
| ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor (Files)                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Button                                                                                                      |          2 |         19 |          0 |          5 |         24 |
| ServerStorage\TycoonModel\Boughtitems\OwnerOnlyDoor\Lasers                                                                                                      |          2 |         20 |          0 |         11 |         31 |
| ServerStorage\TycoonModel\Boughtitems\SecondDropper                                                                                                             |          2 |         13 |          5 |          4 |         22 |
| ServerStorage\TycoonModel\Boughtitems\UpgradePet                                                                                                                |          4 |         32 |          2 |         20 |         54 |
| ServerStorage\TycoonModel\Boughtitems\UpgradePet (Files)                                                                                                        |          2 |         23 |          0 |         17 |         40 |
| ServerStorage\TycoonModel\Boughtitems\UpgradePet\Button                                                                                                         |          2 |          9 |          2 |          3 |         14 |
| ServerStorage\TycoonModel\Boughtitems\thirdDropper                                                                                                              |          2 |         13 |          5 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons                                                                                                                               |         97 |        339 |          0 |         64 |        403 |
| ServerStorage\TycoonModel\Buttons (Files)                                                                                                                       |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton                                                                                                              |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton (Files)                                                                                                      |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart                                                                                                   |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart (Files)                                                                                           |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui                                                                                      |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui (Files)                                                                              |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame                                                                                |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame (Files)                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\BackWallsTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                      |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton                                                                                                        |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton (Files)                                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart                                                                                             |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart (Files)                                                                                     |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui                                                                                |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui (Files)                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame                                                                          |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame (Files)                                                                  |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\ConveyorUpgraderButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper                                                                                                            |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper (Files)                                                                                                    |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart                                                                                                 |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart (Files)                                                                                         |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui                                                                                    |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui (Files)                                                                            |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame                                                                              |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame (Files)                                                                      |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstButtonDropper\ButtonPart\BillboardGui\Frame\TextLabel                                                                    |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton                                                                                                                |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton (Files)                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart                                                                                                     |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart (Files)                                                                                             |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui                                                                                        |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame                                                                                  |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame (Files)                                                                          |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FirstEggButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                        |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\FloorTButton                                                                                                                  |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\FloorTButton (Files)                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart                                                                                                       |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart (Files)                                                                                               |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui                                                                                          |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui (Files)                                                                                  |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame                                                                                    |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame (Files)                                                                            |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FloorTButton\ButtonPart\BillboardGui\Frame\TextLabel                                                                          |          2 |          9 |          0 |          4 |         13 |
| ServerStorage\TycoonModel\Buttons\FourButton                                                                                                                    |          6 |         21 |          0 |          4 |         25 |
| ServerStorage\TycoonModel\Buttons\FourButton (Files)                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart                                                                                                         |          5 |         18 |          0 |          4 |         22 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart (Files)                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui                                                                                            |          4 |         15 |          0 |          4 |         19 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui (Files)                                                                                    |          1 |          3 |          0 |          0 |          3 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\Frame                                                                                      |          3 |         12 |          0 |          4 |         16 |
| ServerStorage\TycoonModel\Buttons\FourButton\ButtonPart\BillboardGui\Frame (Files)                                                                              |          1 |          3 |          0 |          0 |          3 |
